kortti,kunto,harvinaisuus,setti,hinta_eur,varastossa_kpl,myynnissa_kpl
Iron Crown ex 216/162 - Scarlet & Violet Temporal Forces,EX,Secret Rare,Scarlet & Violet Temporal Forces,9.75,1,1
Iron Crown ex 216/162 - Scarlet & Violet Temporal Forces,GD,Secret Rare,Scarlet & Violet Temporal Forces,9.1,1,1
Iron Crown ex 216/162 - Scarlet & Violet Temporal Forces,NM/M,Secret Rare,Scarlet & Violet Temporal Forces,13,4,4
Iron Crown ex 216/162 - Scarlet & Violet Temporal Forces,PL,Secret Rare,Scarlet & Violet Temporal Forces,6.5,1,1
Iron Defender 110 - Pitch Black,NM/M,Ultra Rare,Pitch Black,4,3,3
Iron Defender 118 - Mega Evolution,NM/M,Uncommon,Mega Evolution,0.75,1,1
Iron Hands ex 031 - Scarlet & Violet Prismatic Evolutions,NM/M,Double Rare,Scarlet & Violet Prismatic Evolutions,3,3,3
Iron Hands ex 070/182 - Scarlet & Violet Paradox Rift,EX,Double Rare,Scarlet & Violet Paradox Rift,2.4,2,2
Iron Hands ex 070/182 - Scarlet & Violet Paradox Rift,NM/M,Double Rare,Scarlet & Violet Paradox Rift,3,7,7
Iron Hands ex 154 - Scarlet & Violet Prismatic Evolutions,NM/M,Special Illustration Rare,Scarlet & Violet Prismatic Evolutions,49.95,0,0
Iron Hands ex 223/182 - Scarlet & Violet Paradox Rift,LP,Ultra Rare,Scarlet & Violet Paradox Rift,3.3,1,1
Iron Hands ex 223/182 - Scarlet & Violet Paradox Rift,NM/M,Ultra Rare,Scarlet & Violet Paradox Rift,5.5,8,8
Iron Hands ex 248/182 - Scarlet & Violet Paradox Rift,EX,Special Illustration Rare,Scarlet & Violet Paradox Rift,13.2,2,2
Iron Hands ex 248/182 - Scarlet & Violet Paradox Rift,NM/M,Special Illustration Rare,Scarlet & Violet Paradox Rift,16.5,5,5
Iron Jugulis 158/182 - Scarlet & Violet Paradox Rift,NM/M,Rare,Scarlet & Violet Paradox Rift,0.5,18,18
Iron Jugulis 158/182 Reverse Holo - Scarlet & Violet Paradox Rift,NM/M,Rare,Scarlet & Violet Paradox Rift,0.5,0,0
Iron Jugulis 216/182 - Scarlet & Violet Paradox Rift,LP,Illustration Rare,Scarlet & Violet Paradox Rift,8.7,1,1
Iron Jugulis 216/182 - Scarlet & Violet Paradox Rift,NM/M,Illustration Rare,Scarlet & Violet Paradox Rift,14.5,1,1
Iron Leaves 019/167 - Scarlet & Violet Twilight Masquerade,NM/M,Rare,Scarlet & Violet Twilight Masquerade,0.75,11,11
Iron Leaves 019/167 Reverse Holo - Scarlet & Violet Twilight Masquerade,NM/M,Rare,Scarlet & Violet Twilight Masquerade,1.5,0,0
Iron Leaves ex 025/162 - Scarlet & Violet Temporal Forces,EX,Double Rare,Scarlet & Violet Temporal Forces,2.4,2,2
Iron Leaves ex 025/162 - Scarlet & Violet Temporal Forces,NM/M,Double Rare,Scarlet & Violet Temporal Forces,3,15,15
Iron Leaves ex 176 - Scarlet & Violet Prismatic Evolutions,EX,Secret Rare,Scarlet & Violet Prismatic Evolutions,8.1,1,1
Iron Leaves ex 176 - Scarlet & Violet Prismatic Evolutions,NM/M,Secret Rare,Scarlet & Violet Prismatic Evolutions,9.5,0,0
Iron Leaves ex 186/162 - Scarlet & Violet Temporal Forces,GD,Ultra Rare,Scarlet & Violet Temporal Forces,2.1,1,1
Iron Leaves ex 186/162 - Scarlet & Violet Temporal Forces,NM/M,Ultra Rare,Scarlet & Violet Temporal Forces,3,3,3
Iron Leaves ex 203/162 - Scarlet & Violet Temporal Forces,NM/M,Special Illustration Rare,Scarlet & Violet Temporal Forces,36.95,1,1
Iron Leaves ex 213/162 - Scarlet & Violet Temporal Forces,EX,Secret Rare,Scarlet & Violet Temporal Forces,7.6,1,1
Iron Leaves ex 213/162 - Scarlet & Violet Temporal Forces,NM/M,Secret Rare,Scarlet & Violet Temporal Forces,9.5,8,8
Iron Leaves ex SVP128 - Scarlet & Violet Promos,EX,Holo Promo,Scarlet & Violet Promos,4,1,1
Iron Leaves ex SVP128 - Scarlet & Violet Promos,GD,Promo,SV Black Star Promos,3.5,1,1
Iron Leaves ex SVP128 - Scarlet & Violet Promos,LP,Promo,SV Black Star Promos,3,1,1
Iron Leaves ex SVP128 - Scarlet & Violet Promos,NM/M,Holo Promo,Scarlet & Violet Promos,5,5,5
Iron Moth 028/182 - Scarlet & Violet Paradox Rift,NM/M,Rare,Scarlet & Violet Paradox Rift,0.5,22,22
Iron Moth 028/182 Reverse Holo - Scarlet & Violet Paradox Rift,EX,Rare,Scarlet & Violet Paradox Rift,1.6,1,1
Iron Moth 028/182 Reverse Holo - Scarlet & Violet Paradox Rift,NM/M,Rare,Scarlet & Violet Paradox Rift,2,0,0
Iron Moth 187/182 - Scarlet & Violet Paradox Rift,GD,Illustration Rare,Scarlet & Violet Paradox Rift,7.7,1,1
Iron Moth 187/182 - Scarlet & Violet Paradox Rift,NM/M,Illustration Rare,Scarlet & Violet Paradox Rift,11,6,6
Iron Moth 187/182 - Scarlet & Violet Paradox Rift,PL,Illustration Rare,Scarlet & Violet Paradox Rift,5.5,1,1
Iron Thorns 062/162 - Scarlet & Violet Temporal Forces,NM/M,Rare,Scarlet & Violet Temporal Forces,1.25,7,7
Iron Thorns 062/162 Reverse Holo - Scarlet & Violet Temporal Forces,NM/M,Rare,Scarlet & Violet Temporal Forces,1.25,1,1
Iron Thorns ex 032 - Scarlet & Violet Prismatic Evolutions,NM/M,Double Rare,Scarlet & Violet Prismatic Evolutions,3,2,2
Iron Thorns ex 077/167 - Scarlet & Violet Twilight Masquerade,EX,Double Rare,Scarlet & Violet Twilight Masquerade,2.4,1,1
Iron Thorns ex 077/167 - Scarlet & Violet Twilight Masquerade,NM/M,Double Rare,Scarlet & Violet Twilight Masquerade,3,3,3
Iron Thorns ex 196/167 - Scarlet & Violet Twilight Masquerade,NM/M,Ultra Rare,Scarlet & Violet Twilight Masquerade,6,1,1
Iron Thorns SVP098 - Scarlet & Violet Promos,NM/M,Holo Promo,Scarlet & Violet Promos,5.5,0,0
Iron Treads ex 066/091 - Scarlet & Violet Paldean Fates,EX,Double Rare,Scarlet & Violet Paldean Fates,2.4,1,1
Iron Treads ex 066/091 - Scarlet & Violet Paldean Fates,NM/M,Double Rare,Scarlet & Violet Paldean Fates,3,4,4
Iron Treads ex 073 - SV Black Star Promos,EX,Promo,SV Black Star Promos,4,1,1
Iron Treads ex 073 - SV Black Star Promos,GD,Promo,SV Black Star Promos,3.5,1,1
Iron Treads ex 073 - SV Black Star Promos,NM/M,Promo,SV Black Star Promos,5,5,5
Iron Treads ex 143/198 - Scarlet & Violet,LP,Double Rare,Scarlet & Violet,1.8,1,1
Iron Treads ex 143/198 - Scarlet & Violet,NM/M,Double Rare,Scarlet & Violet,3,5,5
Iron Treads ex 233/198 - Scarlet & Violet,EX,Ultra Rare,Scarlet & Violet,2.4,3,3
Iron Treads ex 233/198 - Scarlet & Violet,GD,Ultra Rare,Scarlet & Violet,2.1,1,1
Iron Treads ex 233/198 - Scarlet & Violet,NM/M,Ultra Rare,Scarlet & Violet,3,3,3
Iron Treads ex 248/198 - Scarlet & Violet,EX,Special Illustration Rare,Scarlet & Violet,9.6,2,2
Iron Treads ex 248/198 - Scarlet & Violet,GD,Special Illustration Rare,Scarlet & Violet,8.4,2,2
Iron Treads ex 248/198 - Scarlet & Violet,NM/M,Special Illustration Rare,Scarlet & Violet,12,7,7
Iron Treads ex SVP073 - Scarlet & Violet Promos,EX,Holo Promo,Scarlet & Violet Promos,4.7,3,3
Iron Treads ex SVP073 - Scarlet & Violet Promos,GD,Holo Promo,Scarlet & Violet Promos,4.4,1,1
Iron Treads ex SVP073 - Scarlet & Violet Promos,NM/M,Holo Promo,Scarlet & Violet Promos,5,3,3
Iron Valiant 080/162 - Scarlet & Violet Temporal Forces,NM/M,Rare,Scarlet & Violet Temporal Forces,1,8,8
Iron Valiant 080/162 Reverse Holo - Scarlet & Violet Temporal Forces,NM/M,Rare,Scarlet & Violet Temporal Forces,1,1,1
Iron Valiant ex 068 - Scarlet & Violet Promos,NM/M,Holo Promo,Scarlet & Violet Promos,5,5,5
Iron Valiant ex 089/182 - Scarlet & Violet Paradox Rift,EX,Double Rare,Scarlet & Violet Paradox Rift,2.4,6,6
Iron Valiant ex 089/182 - Scarlet & Violet Paradox Rift,GD,Double Rare,Scarlet & Violet Paradox Rift,2.1,2,2
Iron Valiant ex 089/182 - Scarlet & Violet Paradox Rift,LP,Double Rare,Scarlet & Violet Paradox Rift,1.8,2,2
Iron Valiant ex 089/182 - Scarlet & Violet Paradox Rift,NM/M,Double Rare,Scarlet & Violet Paradox Rift,3,9,9
Iron Valiant ex 157 - Scarlet & Violet Prismatic Evolutions,NM/M,Special Illustration Rare,Scarlet & Violet Prismatic Evolutions,59.95,0,0
Iron Valiant ex 225/182 - Scarlet & Violet Paradox Rift,NM/M,Ultra Rare,Scarlet & Violet Paradox Rift,5.5,10,10
Iron Valiant ex 249/182 - Scarlet & Violet Paradox Rift,NM/M,Special Illustration Rare,Scarlet & Violet Paradox Rift,21,0,0
Iron Valiant ex 261/182 - Scarlet & Violet Paradox Rift,EX,Secret Rare,Scarlet & Violet Paradox Rift,6.4,1,1
Iron Valiant ex 261/182 - Scarlet & Violet Paradox Rift,NM/M,Secret Rare,Scarlet & Violet Paradox Rift,8,4,4
Iscan 158/196 - Sword & Shield Lost Origin,NM/M,Uncommon,Sword & Shield Lost Origin,0.5,18,18
Iscan 158/196 Reverse Holo - Sword & Shield Lost Origin,NM/M,Uncommon,Sword & Shield Lost Origin,0.5,8,8
Iscan Full Art 192/196 - Sword & Shield Lost Origin,NM/M,Ultra Rare,Sword & Shield Lost Origin,3,4,4
Iscan Hyper Rare 207/196 - Sword & Shield Lost Origin,NM/M,Hyper Rare,Sword & Shield Lost Origin,5,3,3
Island Cave 89/101 Reverse Holo - EX Hidden Legends,EX,Uncommon,EX Hidden Legends,4.5,1,1
Island Cave 89/101 Reverse Holo - EX Hidden Legends,NM/M,Uncommon,EX Hidden Legends,6,0,0
Island Challenge Amulet 194/236 - Sun & Moon Cosmic Eclipse,NM/M,Uncommon,Sun & Moon Cosmic Eclipse,0.5,2,2
Island Challenge Amulet 194/236 Reverse Holo - Sun & Moon Cosmic Eclipse,NM/M,Uncommon,Sun & Moon Cosmic Eclipse,1.5,1,1
Island Challenge Amulet Secret Rare 265/236 - Sun & Moon Cosmic Eclipse,DMG,Secret Rare,Sun & Moon Cosmic Eclipse,4,1,1
Island Challenge Amulet Secret Rare 265/236 - Sun & Moon Cosmic Eclipse,EX,Secret Rare,Sun & Moon Cosmic Eclipse,7.95,1,1
Island Challenge Amulet Secret Rare 265/236 - Sun & Moon Cosmic Eclipse,NM/M,Secret Rare,Sun & Moon Cosmic Eclipse,9.95,2,2
Island Hermit 76/101 - EX Dragon Frontiers,EX,Uncommon,EX Dragon Frontiers,1.5,2,2
Island Hermit 76/101 - EX Dragon Frontiers,NM/M,Uncommon,EX Dragon Frontiers,2,2,2
Island Hermit 76/101 Reverse Holo - EX Dragon Frontiers,NM/M,Uncommon,EX Dragon Frontiers,18.5,0,0
Item Finder 074/102 - Base Set,DMG,Rare,Base Set,4.6,4,4
Item Finder 074/102 - Base Set,GD,Rare,Base Set,9.25,2,2
Item Finder 074/102 - Base Set,LP,Rare,Base Set,7.05,6,6
Item Finder 074/102 - Base Set,NM/M,Rare,Base Set,18.5,0,0
Item Finder 074/102 - Base Set,PL,Rare,Base Set,6.1,3,3
Item Finder 103/130 - Base Set 2,DMG,Rare,Base Set 2,4.1,1,1
Item Finder 103/130 - Base Set 2,NM/M,Rare,Base Set 2,16.5,0,0
Item Finder 103/130 - Base Set 2,PL,Rare,Base Set 2,5.8,2,2
Ivysaur 002 - Mega Evolution,NM/M,Common,Mega Evolution,1.5,0,0
Ivysaur 002 Reverse Holo - Mega Evolution,NM/M,Common,Mega Evolution,1.75,0,0
Ivysaur 002/078 - Pokemon GO,NM/M,Uncommon,Pokemon GO,0.75,0,0
Ivysaur 002/165 - Scarlet & Violet 151,NM/M,Uncommon,Scarlet & Violet 151,1,0,0
Ivysaur 002/165 Reverse Holo - Scarlet & Violet 151,NM/M,Uncommon,Scarlet & Violet 151,1.75,0,0
Ivysaur 030/102 - Base Set,DMG,Uncommon,Base Set,2.3,4,4
Ivysaur 030/102 - Base Set,EX,Uncommon,Base Set,8.05,2,2
Ivysaur 030/102 - Base Set,GD,Uncommon,Base Set,5.75,2,2
Ivysaur 030/102 - Base Set,LP,Uncommon,Base Set,4,4,4
Ivysaur 030/102 - Base Set,NM/M,Uncommon,Base Set,11.5,0,0
Ivysaur 030/102 - Base Set,PL,Uncommon,Base Set,3.2,5,5
Ivysaur 134 - Mega Evolution,DMG,Illustration Rare,Mega Evolution,11.5,1,1
Ivysaur 134 - Mega Evolution,NM/M,Illustration Rare,Mega Evolution,23,2,2
Ivysaur 14/017 - POP Series 3,NM/M,Common,POP Series 3,18,0,0
Ivysaur 167/165 - Scarlet & Violet 151,NM/M,Illustration Rare,Scarlet & Violet 151,58.95,0,0
Ivysaur 2/108 - Black & White 5: Dark Explorers,GD,Uncommon,Black & White 5: Dark Explorers,7,3,3
Ivysaur 2/108 - Black & White 5: Dark Explorers,LP,Uncommon,Black & White 5: Dark Explorers,5.5,2,2
Ivysaur 2/108 - Black & White 5: Dark Explorers,NM/M,Common,Black & White 5: Dark Explorers,10,0,0
Ivysaur 2/108 - Black & White 5: Dark Explorers,PL,Uncommon,Black & White 5: Dark Explorers,4.5,1,1
Ivysaur 2/108 Reverse Holo - Black & White 5: Dark Explorers,PL,Common,Black & White 5: Dark Explorers,7.9,1,1
Ivysaur 34/100 - EX Crystal Guardians,DMG,Uncommon,EX Crystal Guardians,6.75,3,3
Ivysaur 34/100 - EX Crystal Guardians,EX,Uncommon,EX Crystal Guardians,20.2,5,5
Ivysaur 34/100 - EX Crystal Guardians,GD,Uncommon,EX Crystal Guardians,14.8,5,5
Ivysaur 34/100 - EX Crystal Guardians,LP,Uncommon,EX Crystal Guardians,11.3,1,1
Ivysaur 34/100 - EX Crystal Guardians,NM/M,Uncommon,EX Crystal Guardians,26.95,0,0
Ivysaur 34/100 - EX Crystal Guardians,PL,Uncommon,EX Crystal Guardians,9.45,1,1
Ivysaur 34/100 Reverse Holo - EX Crystal Guardians,DMG,Uncommon,EX Crystal Guardians,12.5,1,1
Ivysaur 34/100 Reverse Holo - EX Crystal Guardians,NM/M,Uncommon,EX Crystal Guardians,49.95,0,0
Ivysaur 35/100 - EX Crystal Guardians,DMG,Uncommon,EX Crystal Guardians,1.9,2,2
Ivysaur 35/100 - EX Crystal Guardians,NM/M,Uncommon,EX Crystal Guardians,7.5,0,0
Ivysaur 35/100 Reverse Holo - EX Crystal Guardians,DMG,Uncommon,EX Crystal Guardians,20.25,1,1
Ivysaur 35/100 Reverse Holo - EX Crystal Guardians,LP,Uncommon,EX Crystal Guardians,34,2,2
Ivysaur 35/100 Reverse Holo - EX Crystal Guardians,NM/M,Uncommon,EX Crystal Guardians,80.95,0,0
Ivysaur 35/112 - EX FireRed & LeafGreen,DMG,Uncommon,EX FireRed & LeafGreen,1.2,1,1
Ivysaur 35/112 - EX FireRed & LeafGreen,EX,Uncommon,EX FireRed & LeafGreen,3.55,1,1
Ivysaur 35/112 - EX FireRed & LeafGreen,GD,Uncommon,EX FireRed & LeafGreen,2.6,1,1
Ivysaur 35/112 - EX FireRed & LeafGreen,NM/M,Uncommon,EX FireRed & LeafGreen,4.75,0,0
Ivysaur 35/112 Reverse Holo - EX FireRed & LeafGreen,NM/M,Uncommon,EX FireRed & LeafGreen,51.95,0,0
Ivysaur 44/130 - Base Set 2,NM/M,Uncommon,Base Set 2,9.5,0,0
Ivysaur 47/110 - Legendary Collection,DMG,Uncommon,Legendary Collection,1.9,1,1
Ivysaur 47/110 - Legendary Collection,EX,Uncommon,Legendary Collection,5.6,2,2
Ivysaur 47/110 - Legendary Collection,GD,Uncommon,Legendary Collection,4.1,2,2
Ivysaur 47/110 - Legendary Collection,LP,Uncommon,Legendary Collection,3.4,1,1
Ivysaur 47/110 - Legendary Collection,NM/M,Uncommon,Legendary Collection,7.5,0,0
Ivysaur 47/110 - Legendary Collection,PL,Uncommon,Legendary Collection,2.6,1,1
Ivysaur 82/165 - Expedition Base Set,DMG,Uncommon,Expedition Base Set,6.5,2,2
Ivysaur 82/165 - Expedition Base Set,NM/M,Uncommon,Expedition Base Set,25.95,1,1
Ivysaur 82/165 Reverse Holo - Expedition Base Set,DMG,Uncommon,Expedition Base Set,26,1,1
Ivysaur 82/165 Reverse Holo - Expedition Base Set,NM/M,Uncommon,Expedition Base Set,103.95,0,0
Ivysaur 82/165 Reverse Holo - Expedition Base Set,PL,Uncommon,Expedition Base Set,36.4,1,1
Ivysaur Lv.24 51/132 - Diamond & Pearl Secret Wonders,NM/M,Uncommon,Diamond & Pearl Secret Wonders,2,0,0
Ivysaur Lv.24 51/132 Reverse Holo - Diamond & Pearl Secret Wonders,DMG,Uncommon,Diamond & Pearl Secret Wonders,2.4,1,1
Ivysaur Lv.24 51/132 Reverse Holo - Diamond & Pearl Secret Wonders,EX,Uncommon,Diamond & Pearl Secret Wonders,7.1,1,1
Ivysaur Lv.24 51/132 Reverse Holo - Diamond & Pearl Secret Wonders,LP,Uncommon,Diamond & Pearl Secret Wonders,3.3,2,2
Ivysaur Lv.24 51/132 Reverse Holo - Diamond & Pearl Secret Wonders,NM/M,Uncommon,Diamond & Pearl Secret Wonders,9.5,0,0
Ivysaur Lv.24 51/132 Reverse Holo - Diamond & Pearl Secret Wonders,PL,Uncommon,Diamond & Pearl Secret Wonders,2.65,1,1
Ivysaur Lv.26 62/147 - Platinum Supreme Victors,NM/M,Uncommon,Platinum Supreme Victors,7,1,1
Ivysaur Lv.26 62/147 Reverse Holo - Platinum Supreme Victors,GD,Uncommon,Platinum Supreme Victors,6.25,1,1
Ivysaur Lv.26 62/147 Reverse Holo - Platinum Supreme Victors,LP,Uncommon,Platinum Supreme Victors,5.6,1,1
Ivysaur Lv.26 62/147 Reverse Holo - Platinum Supreme Victors,NM/M,Uncommon,Platinum Supreme Victors,12.5,0,0
Jacinthe 075 - Perfect Order,NM/M,Uncommon,Perfect Order,0.5,0,0
Jacinthe 075 Reverse Holo - Perfect Order,NM/M,Uncommon,Perfect Order,1,0,0
Jacinthe 110 - Perfect Order,EX,Ultra Rare,Perfect Order,5.4,1,1
Jacinthe 110 - Perfect Order,NM/M,Ultra Rare,Perfect Order,6,0,0
Jacinthe 122 - Perfect Order,EX,Special Illustration Rare,Perfect Order,35.95,1,1
Jacinthe 122 - Perfect Order,NM/M,Special Illustration Rare,Perfect Order,39.95,3,3
Jacq 175/198 - Scarlet & Violet,NM/M,Uncommon,Scarlet & Violet,1.5,0,0
Jacq 175/198 Reverse Holo - Scarlet & Violet,NM/M,Uncommon,Scarlet & Violet,1.75,0,0
Jacq 236/198 - Scarlet & Violet,DMG,Ultra Rare,Scarlet & Violet,1.2,2,2
Jacq 236/198 - Scarlet & Violet,EX,Ultra Rare,Scarlet & Violet,2.4,3,3
Jacq 236/198 - Scarlet & Violet,NM/M,Ultra Rare,Scarlet & Violet,3,9,9
Jacq 250/198 - Scarlet & Violet,EX,Special Illustration Rare,Scarlet & Violet,6.4,1,1
Jacq 250/198 - Scarlet & Violet,GD,Special Illustration Rare,Scarlet & Violet,5.6,1,1
Jacq 250/198 - Scarlet & Violet,NM/M,Special Illustration Rare,Scarlet & Violet,8,2,2
Jacq 250/198 - Scarlet & Violet,PL,Special Illustration Rare,Scarlet & Violet,4,1,1
Jamming Net 98/119 - X&Y Phantom Forces,EX,Holo Rare,X&Y Phantom Forces,5.2,1,1
Jamming Net 98/119 - X&Y Phantom Forces,GD,Holo Rare,X&Y Phantom Forces,4.55,1,1
Jamming Net 98/119 - X&Y Phantom Forces,NM/M,Holo Rare,X&Y Phantom Forces,6.5,1,1
Jamming Tower 153/167 - Scarlet & Violet Twilight Masquerade,NM/M,Uncommon,Scarlet & Violet Twilight Masquerade,1,0,0
Jamming Tower 153/167 Reverse Holo - Scarlet & Violet Twilight Masquerade,NM/M,Uncommon,Scarlet & Violet Twilight Masquerade,1.25,0,0
Jamming Tower 243/182 - Scarlet & Violet Destined Rivals,NM/M,Secret Rare,Scarlet & Violet Destined Rivals,10.5,0,0
Jamming Tower 261 - Ascended Heroes,EX,Ultra Rare,Ascended Heroes,3.15,1,1
Jamming Tower 261 - Ascended Heroes,NM/M,Ultra Rare,Ascended Heroes,3.5,9,9
Jangmo-o 40/248 - SM Black Star Promos,NM/M,Promo,SM Black Star Promos,3.25,0,0
Janine 176/214 - Sun & Moon Unbroken Bonds,NM/M,Uncommon,Sun & Moon Unbroken Bonds,0.5,13,13
Janine Full Art 210/214 - Sun & Moon Unbroken Bonds,EX,Ultra Rare,Sun & Moon Unbroken Bonds,27.15,1,1
Janine Full Art 210/214 - Sun & Moon Unbroken Bonds,NM/M,Ultra Rare,Sun & Moon Unbroken Bonds,33.95,1,1
Janine's Secret Art 059/64 - Scarlet & Violet Shrouded Fable,NM/M,Uncommon,Scarlet & Violet Shrouded Fable,1,0,0
Janine's Secret Art 059/64 Reverse Holo - Scarlet & Violet Shrouded Fable,NM/M,Uncommon,Scarlet & Violet Shrouded Fable,1.25,0,0
Janine's Secret Art 088/64 - Scarlet & Violet Shrouded Fable,NM/M,Ultra Rare,Scarlet & Violet Shrouded Fable,7,7,7
Janine's Secret Art 112 - Scarlet & Violet Prismatic Evolutions,NM/M,Uncommon,Scarlet & Violet Prismatic Evolutions,0.75,0,0
Janine's Secret Art 112 Poke Ball Reverse Holo - Scarlet & Violet Prismatic Evolutions: Additionals,NM/M,Uncommon,Scarlet & Violet Prismatic Evolutions: Additionals,1.5,0,0
Janine's Secret Art 112 Reverse Holo - Scarlet & Violet Prismatic Evolutions,NM/M,Uncommon,Scarlet & Violet Prismatic Evolutions,1,0,0
Janine's Secret Art 173 - Scarlet & Violet Prismatic Evolutions,NM/M,Special Illustration Rare,Scarlet & Violet Prismatic Evolutions,44.95,0,0
Jasmine 145/181 - Sun & Moon Team Up,NM/M,Uncommon,Sun & Moon Team Up,1.25,1,1
Jasmine 145/181 Reverse Holo - Sun & Moon Team Up,NM/M,Uncommon,Sun & Moon Team Up,1.5,1,1
Jasmine Full Art 177/181 - Sun & Moon Team Up,EX,Ultra Rare,Sun & Moon Team Up,63.95,1,1
Jasmine Full Art 177/181 - Sun & Moon Team Up,GD,Ultra Rare,Sun & Moon Team Up,55.95,1,1
Jasmine Full Art 177/181 - Sun & Moon Team Up,NM/M,Ultra Rare,Sun & Moon Team Up,79.95,0,0
Jasmine's Gaze 178/191 - Scarlet & Violet Surging Sparks,NM/M,Uncommon,Scarlet & Violet Surging Sparks,0.5,18,18
Jasmine's Gaze 178/191 Reverse Holo - Scarlet & Violet Surging Sparks,NM/M,Uncommon,Scarlet & Violet Surging Sparks,1.5,3,3
Jasmine's Gaze 233/191 - Scarlet & Violet Surging Sparks,EX,Ultra Rare,Scarlet & Violet Surging Sparks,3.6,1,1
Jasmine's Gaze 233/191 - Scarlet & Violet Surging Sparks,NM/M,Ultra Rare,Scarlet & Violet Surging Sparks,4.5,4,4
Jasmine's Gaze 245/191 - Scarlet & Violet Surging Sparks,NM/M,Special Illustration Rare,Scarlet & Violet Surging Sparks,32.95,5,5
Jaw Fossil 094/111 - X&Y Furious Fists,NM/M,Uncommon,X&Y Furious Fists,0.75,2,2
Jaw Fossil 094/111 Reverse Holo - X&Y Furious Fists,EX,Uncommon,X&Y Furious Fists,0.8,1,1
Jaw Fossil 094/111 Reverse Holo - X&Y Furious Fists,NM/M,Uncommon,X&Y Furious Fists,1,0,0
Jellicent 021/119 - X&Y Phantom Forces,NM/M,Rare,X&Y Phantom Forces,2.75,1,1
Jellicent 021/119 Reverse Holo - X&Y Phantom Forces,NM/M,Rare,X&Y Phantom Forces,5,0,0
Jellicent 031/101 - Black & White 3: Noble Victories,NM/M,Rare,Black & White 3: Noble Victories,3.25,0,0
Jellicent 035/099 - Black & White 4: Next Destinies,GD,Rare,Black & White 4: Next Destinies,1.9,1,1
Jellicent 035/099 - Black & White 4: Next Destinies,NM/M,Rare,Black & White 4: Next Destinies,2.75,2,2
Jellicent 035/099 Reverse Holo - Black & White 4: Next Destinies,GD,Rare,Black & White 4: Next Destinies,3.5,1,1
Jellicent 035/099 Reverse Holo - Black & White 4: Next Destinies,NM/M,Rare,Black & White 4: Next Destinies,5,0,0
Jellicent 039/135 - Black & White 8: Plasma Storm,NM/M,Rare,Black & White 8: Plasma Storm,3.75,0,0
Jellicent 039/135 Reverse Holo - Black & White 8: Plasma Storm,NM/M,Rare,Black & White 8: Plasma Storm,7.5,0,0
Jellicent 042/163 Reverse Holo - Sword & Shield Battle Styles,NM/M,Rare,Sword & Shield Battle Styles,1.75,0,0
Jellicent 045/149 - Black & White 7: Boundaries Crossed,NM/M,Rare,Black & White 7: Boundaries Crossed,1.5,0,0
Jellicent 31/101 Reverse Holo - Black & White 3: Noble Victories,NM/M,Rare,Black & White 3: Noble Victories,8.5,0,0
Jellicent 42/163 - Sword & Shield Battle Styles,NM/M,Rare,Sword & Shield Battle Styles,1.5,0,0
Jellicent 45/149 Reverse Holo - Black & White 7: Boundaries Crossed,NM/M,Rare,Black & White 7: Boundaries Crossed,3,0,0
Jellicent ex 045/086 - Scarlet & Violet White Flare,NM/M,Rare,Scarlet & Violet White Flare,5,7,7
Jellicent ex 160/086 - Scarlet & Violet White Flare,NM/M,Ultra Rare,Scarlet & Violet White Flare,3,5,5
Jellicent ex 168/086 - Scarlet & Violet White Flare,NM/M,Special Illustration Rare,Scarlet & Violet White Flare,46.95,0,0
Jessie & James 058/068 Reverse Holo - Sun & Moon Hidden Fates,NM/M,Holo Rare,Sun & Moon Hidden Fates,8,0,0
Jessie & James 58/68 - Sun & Moon Hidden Fates,NM/M,Holo Rare,Sun & Moon Hidden Fates,2.75,1,1
Jessie & James Full Art 68/68 - Sun & Moon Hidden Fates,NM/M,Ultra Rare,Sun & Moon Hidden Fates,79.95,0,0
Jet Energy 190/193 - Scarlet & Violet Paldea Evolved,NM/M,Uncommon,Scarlet & Violet Paldea Evolved,1,1,1
Jet Energy 190/193 Reverse Holo - Scarlet & Violet Paldea Evolved,NM/M,Uncommon,Scarlet & Violet Paldea Evolved,1.25,0,0
Jet Energy 252/191 - Scarlet & Violet Surging Sparks,NM/M,Secret Rare,Scarlet & Violet Surging Sparks,8.5,2,2
Jett 079 - Pitch Black,NM/M,Uncommon,Pitch Black,1,0,0
Jett 079 Reverse Holo - Pitch Black,NM/M,Uncommon,Pitch Black,1.25,0,0
Jigglypuff 004 - McDonald's Collection 2024,NM/M,Promo,McDonald's Collection 2024,1.75,0,0
Jigglypuff 039/165 Reverse Holo - Scarlet & Violet 151,NM/M,Common,Scarlet & Violet 151,1.25,14,14
Jigglypuff 071/111 Reverse Holo - Sun & Moon Crimson Invasion,NM/M,Common,Sun & Moon Crimson Invasion,1.5,0,0
Jigglypuff 134/214 - Sun & Moon Unbroken Bonds,NM/M,Common,Sun & Moon Unbroken Bonds,1,0,0
Jigglypuff 14/018 - Detective Pikachu,NM/M,Common,Detective Pikachu,2,0,0
Jigglypuff 198/091 - Scarlet & Violet Paldean Fates,NM/M,Shiny Rare,Scarlet & Violet Paldean Fates,28.95,0,0
Jigglypuff 41/095 - EX Team Magma vs Team Aqua,EX,Common,EX Team Magma vs Team Aqua,4.1,1,1
Jigglypuff 41/095 - EX Team Magma vs Team Aqua,GD,Common,EX Team Magma vs Team Aqua,3,1,1
